Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
103,369,400,96.1785,86.1,-1038.0855000000006,-0.10478953196400453,2019-11-04,2019-12-17,43 days 00:00:00.000000000
110,536,551,81.40499999999999,71.2,-1122.5499999999984,-0.12536085007063436,2020-07-07,2020-07-28,21 days 00:00:00.000000000
